"slug","title","description","url","tags","category","author","source"
"filesystem","Filesystem","Secure file operations with configurable access controls","https://github.com/modelcontextprotocol/servers","Node.js;server;filesystem;operations","System Tools","{'name': 'modelcontextprotocol'}","Local Servers"
"financial-datasets","Financial Datasets MCP Server","This is a Model Context Protocol (MCP) server that provides access to stock market data from [Financial Datasets](https://www.financialdatasets.ai/).","https://github.com/financial-datasets/mcp-server","finance;stock market;financial data","Finance","{'name': 'financial-datasets'}","Local Servers"
"fingertip","Fingertip","MCP server for Fingertip.com to search and create new sites.","https://github.com/fingertip-com/fingertip-mcp","Fingertip;AI Assistants","Web Services","{'name': 'fingertip-com'}","Local Servers"
"firebase","Firebase","Server to interact with Firebase services including Firebase Authentication, Firestore, and Firebase Storage.","https://github.com/gannonh/firebase-mcp","Firebase;LLM;Server","Databases","{'name': 'gannonh'}","Local Servers"
"firecrawl","Firecrawl","Advanced web scraping with JavaScript rendering, PDF support, and smart rate limiting","https://github.com/mendableai/firecrawl-mcp-server","firecrawl;scraping;web;api;automation","Web Services","{'name': 'mendableai'}","Local Servers"
"fireproof-mcp","Model Context Protocol and Fireproof Demo: JSON Document Server","Immutable ledger database with live synchronization","https://github.com/fireproof-storage/mcp-database-server","fireproof;database;MCP;Model Context Protocol;JSON;document store","Databases","{'name': 'fireproof-storage'}","Local Servers"
"flightradar24","Flightradar24","A Claude Desktop MCP server that helps you track flights in real-time using Flightradar24 data.","https://github.com/sunsetcoder/flightradar24-mcp-server","Flightradar24;Flight Tracking","Web Services","{'name': 'sunsetcoder'}","Local Servers"
"forevervm","ForeverVM MCP Server","data-color-mode=""auto"" data-light-theme=""light"" data-dark-theme=""dark""","https://github.com/jamsocket/forevervm","python;repl;claude","System Tools","{'name': 'jamsocket'}","Local Servers"
"ghidra-mcp","GhidraMCP","GhidraMCP is an Model Context Protocol server for allowing LLMs to autonomously reverse engineer applications. It exposes numerous tools from core Ghidra functionality to MCP clients.","https://github.com/LaurieWired/GhidraMCP","reverse engineering;Ghidra;MCP;binary analysis;decompiler;LLM;Model Context Protocol","Dev Tools","{'name': 'LaurieWired'}","Local Servers"
"ghost","Ghost","A Model Context Protocol (MCP) server for interacting with Ghost CMS through LLM interfaces like Claude.","https://github.com/MFYDev/ghost-mcp","Ghost;CMS;Admin API","Professional Apps","{'name': 'MFYDev'}","Local Servers"
"git-mcp","GitMCP","GitMCP is a free, open-source, remote Model Context Protocol (MCP) server that transforms any GitHub project into a documentation hub, enabling AI tools to access up-to-date documentation and code to eliminate code hallucinations.","https://github.com/idosal/git-mcp","MCP;GitHub;documentation;AI assistant;Model Context Protocol;code;open-source;no-hallucinations","Dev Tools","{'name': 'idosal'}","Local Servers"
"git","git","Tools to read, search, and manipulate Git repositories","https://github.com/modelcontextprotocol/servers","Git;Server;Automation","Dev Tools","{'name': 'modelcontextprotocol'}","Local Servers"
"github-actions","GitHub Actions","A Model Context Protocol (MCP) server for interacting with Github Actions.","https://github.com/ko1ynnky/github-actions-mcp-server","GitHub Actions;Workflow Management;Automation","Dev Tools","{'name': 'ko1ynnky'}","Local Servers"
"github","GitHub Official MCP Server","The official GitHub MCP server written in Go. Provides comprehensive GitHub API integration including repository management, issue tracking, pull requests, code search, and more.","https://github.com/github/github-mcp-server","github;code;repository;git;issues;pull-requests;api","Dev Tools","{'name': 'GitHub'}","Local Servers"
"gitlab","GitLab","GitLab API, enabling project management","https://github.com/modelcontextprotocol/servers","GitLab;API","Dev Tools","{'name': 'modelcontextprotocol'}","Local Servers"
"glean","Glean","A server that uses Glean API to search and chat.","https://github.com/longyi1207/glean-mcp-server","glean;search;chat;docker","Knowledge Base","{'name': 'longyi1207', 'url': 'https://github.com/longyi1207'}","Local Servers"
"gmail-headless","Headless Gmail Server","Remote hostable MCP server that can get and send Gmail messages without local credential or file system setup.","https://github.com/baryhuang/mcp-headless-gmail","Gmail;Headless;Docker;API","Messaging","{'name': 'baryhuang'}","Local Servers"
"gmail","Gmail AutoAuth","A Model Context Protocol (MCP) server for Gmail integration in Claude Desktop with auto authentication support.","https://github.com/GongRzhe/Gmail-MCP-Server","gmail;autoauth;claude","Messaging","{'name': 'GongRzhe'}","Local Servers"
"goal-story","Goal Story","a Goal Tracker and Visualization Tool for personal and professional development.","https://github.com/hichana/goalstory-mcp","goal tracking;storytelling;AI","Productivity","{'name': 'hichana'}","Local Servers"
"godot","Godot","A MCP server providing comprehensive Godot engine integration for project editing, debugging, and scene management.","https://github.com/Coding-Solo/godot-mcp","Godot;AI;Game","Media Creation","{'name': 'Coding Solo', 'url': 'https://github.com/Coding-Solo'}","Local Servers"
"goodnews","Goodnews","A simple MCP server that delivers curated positive and uplifting news stories.","https://github.com/VectorInstitute/mcp-goodnews","positive news;uplifting;Cohere;NewsAPI","Web Services","{'name': 'VectorInstitute'}","Local Servers"
"google-calendar","Google Calendar","Google Calendar MCP Server for managing Google calendar events. Also supports searching for events by attributes like title and location.","https://github.com/nspady/google-calendar-mcp","Google Calendar;event management","Productivity","{'name': 'nspady'}","Local Servers"
"google-custom-search","Google Custom Search","Provides Google Search results via the Google Custom Search API","https://github.com/adenot/mcp-google-search","Google;Custom Search;Webpage Reading","Web Services","{'name': 'adenot'}","Local Servers"
"google-drive","Google Drive","File access and search capabilities for Google Drive","https://github.com/modelcontextprotocol/servers","google drive;files;API","Productivity","{'name': 'modelcontextprotocol'}","Local Servers"
"google-maps","Google Maps","Location services, directions, and place details","https://github.com/modelcontextprotocol/servers","Google Maps;Geolocation","Web Services","{'name': 'modelcontextprotocol'}","Local Servers"
"google-tasks","Google Tasks","Google Tasks API Model Context Protocol Server.","https://github.com/zcaceres/gtasks-mcp","google;tasks;productivity","Productivity","{'name': 'zcaceres'}","Local Servers"
"gotohuman-mcp-server","gotoHuman MCP Server","Let your **AI agents ask for human reviews** in gotoHuman via MCP.","https://github.com/gotohuman/gotohuman-mcp-server","human review;AI agents;webhook;automation","AI Systems","{'name': 'gotohuman'}","Local Servers"
"gpaw-computation","GPAW Computation Server","MCP server for running GPAW (Grid-based Projector Augmented Wave) computational calculations for materials science and quantum mechanics simulations.","https://github.com/pathintegral-institute/mcp.science","quantum;computation","AI Systems","{'name': 'Path Integral Institute', 'email': 'info@pathintegral.xyz'}","Local Servers"
"graphlit-mcp-server","Graphlit MCP Server","The Model Context Protocol (MCP) Server enables integration between MCP clients and the Graphlit service. This document outlines the setup process and provides a basic example of using the client.","https://github.com/graphlit/graphlit-mcp-server","mcp;graphlit;retrieval;extraction;ingestion;web;notifications","Knowledge Base","{'name': 'graphlit'}","Local Servers"
"graphql-schema","GraphQL Schema Model Context Protocol","Allow LLMs to explore large GraphQL schemas without bloating the context.","https://github.com/hannesj/mcp-graphql-schema","GraphQL;LLMs;Schema;API","Dev Tools","{'name': 'hannesj'}","Local Servers"
"greptimedb-mcp-server","GreptimeDB MCP Server","A Model Context Protocol (MCP) server implementation for [GreptimeDB](https://github.com/GreptimeTeam/greptimedb).","https://github.com/GreptimeTeam/greptimedb-mcp-server","database;sql;greptimedb;mcp","Databases","{'name': 'GreptimeTeam'}","Local Servers"
"greptimedb","GreptimeDB","<source media=""(prefers-color-scheme: light)"" srcset=""https://cdn.jsdelivr.net/gh/GreptimeTeam/greptimedb@main/docs/logo-text-padding.png"">","https://github.com/GreptimeTeam/greptimedb","database;timeseries;observability;metrics;logs;events","Databases","{'name': 'GreptimeTeam'}","Local Servers"
"gyazo","Gyazo MCP Server","A Model Context Protocol server for Gyazo image integration","https://github.com/nota/gyazo-mcp-server","gyazo;images;mcp;model context protocol;typescript;api;search;upload;ocr","Media Creation","{'name': 'nota'}","Local Servers"
"hdw-linkedin","HDW","Access to profile data and management of user account with [HorizonDataWave.ai](https://horizondatawave.ai/).","https://github.com/horizondatawave/hdw-mcp-server","LinkedIn;API access;Data retrieval;User management","Productivity","{'name': 'horizondatawave'}","Local Servers"
"heroku","Heroku Platform MCP Server","The Heroku Platform MCP Server is a specialized Model Context Protocol (MCP) implementation designed to facilitate","https://github.com/heroku/heroku-mcp-server","heroku;mcp;platform;llm;model context protocol;devops;cloud;deployment;postgresql;database","Dev Tools","{'name': 'heroku'}","Local Servers"
"heurist-mesh-agent","Mesh Agent","Access specialized web3 AI agents for blockchain analysis, smart contract security, token metrics, and blockchain interactions through the [Heurist Mesh network](https://github.com/heurist-network/heurist-agent-framework/tree/main/mesh).","https://github.com/heurist-network/heurist-mesh-mcp-server","Heurist;Agent Framework;Blockchain Tools","Finance","{'name': 'Heurist Network'}","Local Servers"
"holaspirit","Holaspirit","Interact with [Holaspirit](https://www.holaspirit.com/).","https://github.com/syucream/holaspirit-mcp-server","Holaspirit;AI","Productivity","{'name': 'syucream'}","Local Servers"
"home-assistant","Hass","Docker-ready MCP server for Home Assistant with entity management, domain summaries, automation support, and guided conversations. Includes pre-built container images for easy installation.","https://github.com/voska/hass-mcp","Home Assistant;Claude;LLM;Automation","System Tools","{'name': 'voska'}","Local Servers"
"hubspot","HubSpot CRM Integration","HubSpot CRM integration for managing contacts and companies. Create and retrieve CRM data directly through Claude chat.","https://github.com/buryhuang/mcp-hubspot","HubSpot;API;AI;CRM;Integration","Productivity","{'name': 'buryhuang'}","Local Servers"
"huggingface-spaces","HuggingFace Spaces 🤗","Server for using HuggingFace Spaces, supporting Open Source Image, Audio, Text Models and more. Claude Desktop mode for easy integration.","https://github.com/evalstate/mcp-hfspace","Hugging Face;Claude Desktop","AI Systems","{'name': 'evalstate'}","Local Servers"
"hyperbrowser","Hyperbrowser MCP Server","This is Hyperbrowser's Model Context Protocol (MCP) Server. It provides various tools to scrape, extract structured data, and crawl webpages. It also provides easy access to general purpose browser agents like OpenAI's CUA, Anthropic's Claude Computer Use, and Browser Use.","https://github.com/hyperbrowserai/mcp","browser;web;scraping;crawling;automation","Web Services","{'name': 'hyperbrowserai'}","Local Servers"
"hyperliquid","Hyperliquid","An MCP server implementation that integrates the Hyperliquid SDK for exchange data.","https://github.com/mektigboy/server-hyperliquid","Hyperliquid;Exchange","Finance","{'name': 'mektigboy'}","Local Servers"
"ida-mcp","IDA MCP Server","A Model Context Protocol server for IDA interaction and automation. This server provides tools to read IDA database via Large Language Models.","https://github.com/MxIris-Reverse-Engineering/ida-mcp-server","IDA;reverse engineering;MCP;Model Context Protocol;automation;LLM;IDA Pro","Dev Tools","{'name': 'MxIris-Reverse-Engineering'}","Local Servers"
"image-generation","Image Generation","This MCP server provides image generation capabilities using the Replicate Flux model.","https://github.com/GongRzhe/Image-Generation-MCP-Server","image;generation;flux;Replicate","Media Creation","{'name': 'GongRzhe'}","Local Servers"
"inbox-zero","Inbox Zero MCP Server","data-color-mode=""auto"" data-light-theme=""light"" data-dark-theme=""dark""","https://github.com/elie222/inbox-zero","email;inbox;assistant;mcp","Messaging","{'name': 'elie222'}","Local Servers"
"influxdb","InfluxDB","Run queries against InfluxDB OSS API v2.","https://github.com/idoru/influxdb-mcp-server","InfluxDB;API;server;time-series","Databases","{'name': 'idoru'}","Local Servers"
"inkeep","Inkeep MCP Server","Inkeep MCP Server powered by your docs and product content.","https://github.com/inkeep/mcp-server-python","rag;documentation;product content","Knowledge Base","{'name': 'inkeep'}","Local Servers"
"inoyu","Inoyu Apache Unomi","Interact with an Apache Unomi CDP customer data platform to retrieve and update customer profiles","https://github.com/sergehuber/inoyu-mcp-unomi-server","Apache Unomi;User Profiles;Context Management","Databases","{'name': 'sergehuber'}","Local Servers"
"intercom","Intercom Support Server","An MCP-compliant server for retrieving customer support tickets from Intercom. This tool enables AI assistants like Claude Desktop and Cline to access and analyze your Intercom support tickets.","https://github.com/raoulbia-ai/mcp-server-for-intercom","Intercom;support-tickets;API","Messaging","{'name': 'raoulbia-ai'}","Local Servers"
"ios-simulator-mcp","iOS Simulator MCP Server","A Model Context Protocol (MCP) server for interacting with iOS simulators. This server allows you to interact with iOS simulators by getting information about them, controlling UI interactions, and inspecting UI elements.","https://github.com/joshuayoes/ios-simulator-mcp","iOS;simulator;MCP;testing;QA;UI interaction;automation","Dev Tools","{'name': 'joshuayoes'}","Local Servers"
"iterm-mcp","iTerm","Integration with iTerm2 terminal emulator for macOS, enabling LLMs to execute and monitor terminal commands.","https://github.com/ferrislucas/iterm-mcp","iTerm;server;automation","System Tools","{'name': 'ferrislucas'}","Local Servers"
"jinni","Jinni: Bring Your Project Into Context","<a href=""https://glama.ai/mcp/servers/@smat-dev/jinni"">","https://github.com/smat-dev/jinni","context;project;LLM;MCP;development;code;file management;context window","Media Creation","{'name': 'smat-dev'}","Local Servers"
"john-zhang-dev-xero-mcp-server","Xero","Enabling clients to interact with Xero system for streamlined accounting, invoicing, and business operations.","https://github.com/john-zhang-dev/xero-mcp","","Finance","{'name': 'john-zhang-dev'}","Local Servers"
"json","JSON Model Context Protocol","JSON handling and processing server with advanced query capabilities using JSONPath syntax and support for array, string, numeric, and date operations.","https://github.com/GongRzhe/JSON-MCP-Server","json;data querying;standardized tools","Dev Tools","{'name': 'GongRzhe'}","Local Servers"
"jupyter-mcp","Jupyter MCP Server","Jupyter MCP Server is a [Model Context Protocol](https://modelcontextprotocol.io) (MCP) server implementation that provides interaction with 📓 Jupyter notebooks running in any JupyterLab (works also with your 💻 local JupyterLab).","https://github.com/datalayer/jupyter-mcp-server","jupyter;mcp;model context protocol;notebook;jupyterlab;claude","Dev Tools","{'name': 'datalayer'}","Local Servers"
"kagimcp","Kagi MCP server","<a href=""https://glama.ai/mcp/servers/xabrrs4bka"">","https://github.com/kagisearch/kagimcp","search;summarizer","Analytics","{'name': 'kagisearch'}","Local Servers"
"keboola-mcp-server","Keboola MCP Server","<a href=""https://glama.ai/mcp/servers/72mwt1x862""><img width=""380"" height=""200"" src=""https://glama.ai/mcp/servers/72mwt1x862/badge"" alt=""Keboola Explorer Server MCP server"" /></a>","https://github.com/keboola/keboola-mcp-server","keboola;data;storage;snowflake","Analytics","{'name': 'keboola'}","Local Servers"
"keycloak-mcp","Keycloak Model Context Protocol","This MCP server enables natural language interaction with Keycloak for user and realm management including creating, deleting, and listing users and realms.","https://github.com/ChristophEnglisch/keycloak-model-context-protocol","Keycloak;User Management;Realm Management","System Tools","{'name': 'ChristophEnglisch'}","Local Servers"
"kibela","Kibela","Interact with Kibela API.","https://github.com/kiwamizamurai/mcp-kibela-server","Kibela;Integration","Knowledge Base","{'name': 'kiwamizamurai'}","Local Servers"
"kubectl-mcp","Kubectl MCP Server","A Model Context Protocol (MCP) server for Kubernetes that enables AI assistants like Claude, Cursor, and others to interact with Kubernetes clusters through natural language.","https://github.com/rohitg00/kubectl-mcp-server","kubernetes;kubectl;MCP;Model Context Protocol;AI assistants;CLI;Python;k8s","Dev Tools","{'name': 'rohitg00'}","Local Servers"
"kubernetes-and-openshift","Kubernetes and OpenShift","A powerful Kubernetes MCP server with additional support for OpenShift. Besides providing CRUD operations for any Kubernetes resource, this server provides specialized tools to interact with your cluster.","https://github.com/manusa/kubernetes-mcp-server","Kubernetes;Server","Dev Tools","{'name': 'manusa'}","Local Servers"
"kubernetes","Kubernetes","Connect to Kubernetes cluster and manage pods, deployments, and services.","https://github.com/Flux159/mcp-server-kubernetes","kubernetes;server;management","Dev Tools","{'name': 'Flux159'}","Local Servers"
"langflow-doc-qa-server","Langflow Document Q&A","A Model Context Protocol server for document Q&A powered by Langflow. It demonstrates core MCP concepts by providing a simple interface to query documents through a Langflow backend.","https://github.com/GongRzhe/Langflow-DOC-QA-SERVER","Langflow;Document Q&A","Knowledge Base","{'name': 'GongRzhe'}","Local Servers"
"lara-mcp","Lara Translate MCP Server","A Model Context Protocol (MCP) Server for [Lara Translate](https://laratranslate.com/translate) API, enabling powerful translation capabilities with support for language detection, context-aware translations and translation memories.","https://github.com/translated/lara-mcp","translation;MCP;Model Context Protocol;language detection;translation memories;multilingual;API","Productivity","{'name': 'translated'}","Local Servers"
"lightdash","Lightdash","Interact with [Lightdash](https://www.lightdash.com/), a BI tool.","https://github.com/syucream/lightdash-mcp-server","Lightdash;AI","Analytics","{'name': 'syucream'}","Local Servers"
"line-bot","LINE Bot MCP Server","1. **push_text_message**","https://github.com/line/line-bot-mcp-server","LINE;bot;messaging;MCP;Model Context Protocol;AI Agent;LINE Messaging API","Messaging","{'name': 'line'}","Local Servers"
"linear","Linear","Allows LLM to interact with Linear's API for project management, including searching, creating, and updating issues.","https://github.com/jerhadf/linear-mcp-server","linear;issue tracking;LLM","Productivity","{'name': 'jerhadf'}","Local Servers"
"lingo-dev","Lingo.dev MCP Server","The [Model Context Protocol](https://modelcontextprotocol.io/introduction) (MCP) is a standard for connecting Large Language Models (LLMs) to external services. This guide will walk you through how to connect AI tools to Lingo.dev using MCP.","https://github.com/lingodotdev/lingo.dev","translation;localization;mcp","Dev Tools","{'name': 'lingodotdev'}","Local Servers"
"llamacloud","LlamaCloud","Integrate the data stored in a managed index on [LlamaCloud](https://cloud.llamaindex.ai/)","https://github.com/run-llama/mcp-server-llamacloud","LlamaCloud;TypeScript","Knowledge Base","{'name': 'run-llama'}","Local Servers"
"llm-context","LLM Context","Provides a repo-packing MCP tool with configurable profiles that specify file inclusion/exclusion patterns and optional prompts.","https://github.com/cyberchitta/llm-context.py","LLM;Context Injection;Development;ChatGPT;Productivity","Dev Tools","{'name': 'cyberchitta'}","Local Servers"
"llmpulse-mcp","LLM Pulse MCP Server","Exposes LLM Pulse brand visibility, citations, sentiment, share of voice, tracked prompts, recommendations, and AI traffic analytics through MCP.","https://github.com/LLM-Pulse/llmpulse-mcp","analytics;ai-visibility;brand-monitoring;citations;sentiment;share-of-voice;streamable-http","data","{'name': 'LLM Pulse'}","Local Servers"
"logfire-mcp","Logfire MCP Server","This repository contains a Model Context Protocol (MCP) server with tools that can access the OpenTelemetry traces and","https://github.com/pydantic/logfire-mcp","OpenTelemetry;traces;metrics;logging;monitoring","Dev Tools","{'name': 'pydantic'}","Local Servers"
"m2m-ssh-gateway","MCP SSH Gateway Client","A Model Context Protocol Server (Remote SSH client) that connects to remote MCP servers over SSH, proxying tools, prompts, and resources.","https://github.com/Machine-To-Machine/m2m-mcp-server-ssh-client.git","mcp;ssh;gateway;proxy;remote;client","Dev Tools","{'name': 'Machine To Machine'}","Local Servers"
"mac-messages-mcp","Mac Messages","An MCP server that securely interfaces with your iMessage database via the Model Context Protocol (MCP), allowing LLMs to query and analyze iMessage conversations. It includes robust phone number validation, attachment processing, contact management, group chat handling, and full support for sending and receiving messages.","https://github.com/carterlasalle/mac_messages_mcp","python;mac;messages","Messaging","{'name': 'carterlasalle'}","Local Servers"
"magic-mcp","21st.dev Magic AI Agent","Magic Component Platform (MCP) is a powerful AI-driven tool that helps developers create beautiful, modern UI components instantly through natural language descriptions. It integrates seamlessly with popular IDEs and provides a streamlined workflow for UI development.","https://github.com/21st-dev/magic-mcp","ui;components;ai;generator;react","Dev Tools","{'name': '21st-dev'}","Local Servers"
"mailgun","Mailgun MCP Server","A Model Context Protocol (MCP) server implementation for [Mailgun](https://mailgun.com), enabling MCP-compatible AI clients like Claude Desktop to interract with the service.","https://github.com/mailgun/mailgun-mcp-server","email;mailgun;mcp","Messaging","{'name': 'mailgun'}","Local Servers"
"make-mcp-server","Make MCP Server","A Model Context Protocol server that enables Make scenarios to be utilized as tools by AI assistants. This integration allows AI systems to trigger and interact with your Make automation workflows.","https://github.com/integromat/make-mcp-server","make;automation;ai;mcp;scenarios","Productivity","{'name': 'integromat'}","Local Servers"
"mariadb","MariaDB Database Integration","MariaDB database integration with configurable access controls in Python.","https://github.com/abel9851/mcp-server-mariadb","MariaDB;Data Retrieval","Databases","{'name': 'abel9851'}","Local Servers"
"markdownify","Markdownify","MCP to convert almost anything to Markdown (PPTX, HTML, PDF, Youtube Transcripts and more)","https://github.com/zcaceres/mcp-markdownify-server","markdown;conversion","Media Creation","{'name': 'zcaceres'}","Local Servers"
"markitdown","MarkItDown MCP Server","The `markitdown-mcp` package provides a lightweight STDIO and SSE MCP server for calling MarkItDown.","https://github.com/microsoft/markitdown/tree/main/packages/markitdown-mcp","markdown;conversion;server;AutoGen;document conversion","Media Creation","{'name': 'microsoft'}","Local Servers"
"materials-project","Materials Project","A MCP (Model Context Protocol) server that interacts with the Materials Project database, allowing for material search, structure visualization, and manipulation.","https://github.com/pathintegral-institute/mcp.science","materials;science","MCP Tools","{'name': 'pathintegral-institute'}","Local Servers"
"mathematica-check","Mathematica Check","A Model Context Protocol (MCP) server that allows MCP clients (like Cursor) to execute Mathematica code via wolframscript and verify mathematical derivations.","https://github.com/pathintegral-institute/mcp.science","mathematica","Professional Apps","{'name': 'LionSR'}","Local Servers"
"mcp-aiven","Aiven MCP Server","A [Model Context Protocol](https://modelcontextprotocol.io/) (MCP) server for Aiven.","https://github.com/Aiven-Open/mcp-aiven","PostgreSQL;Kafka;ClickHouse;Valkey;OpenSearch","Databases","{'name': 'Aiven-Open'}","Local Servers"
"mcp-alchemy","MCP Alchemy - Database Assistant","Database assistant MCP server enabling LLMs to interact with relational databases for exploration, querying, and analysis. Supports PostgreSQL, MySQL, MariaDB, SQLite, Oracle, MS SQL Server, CrateDB, Vertica, and other SQLAlchemy-compatible databases.","https://github.com/runekaagaard/mcp-alchemy","Database;SQL;PostgreSQL;MySQL;SQLite;Oracle;SQLAlchemy;Query Analysis","Databases","{'name': 'runekaagaard'}","Local Servers"
"mcp-audiense-insights","Audiense Insights","This server, based on the [Model Context Protocol (MCP)](https://github.com/modelcontextprotocol), allows **Claude** or any other MCP-compatible client to interact with your [Audiense Insights](https://www.audiense.com/) account. It extracts **marketing insights and audience analysis** from Audiense reports, covering **demographic, cultural, influencer, and content engagement analysis**.","https://github.com/AudienseCo/mcp-audiense-insights","marketing;audience analysis;insights;demographics;influencers","Analytics","{'name': 'AudienseCo'}","Local Servers"
"mcp-browser-use","Browser Use MCP Server","This project is an AI-driven browser automation server that implements the Model Context Protocol (MCP) for natural language control of web browsers and web research tasks.","https://github.com/Saik0s/mcp-browser-use","browser-automation;web-research;MCP;AI-driven;browser-control;web-scraping;natural-language;chrome;playwright","Web Services","{'name': 'Saik0s'}","Local Servers"
"mcp-circleci","CircleCI MCP Server","Model Context Protocol (MCP) is a [new, standardized protocol](https://modelcontextprotocol.io/introduction) for managing context between large language models (LLMs) and external systems. In this repository, we provide an MCP Server for [CircleCI](https://circleci.com).","https://github.com/CircleCI-Public/mcp-server-circleci","circleci;mcp;model context protocol;llm;ci/cd;build logs;flaky tests;config validation","Dev Tools","{'name': 'CircleCI-Public'}","Local Servers"
"mcp-clickhouse","ClickHouse MCP Server","An MCP server for ClickHouse.","https://github.com/ClickHouse/mcp-clickhouse","clickhouse;database;sql","Databases","{'name': 'ClickHouse'}","Local Servers"
"mcp-codex-keeper","Aindreyway MCP Codex Keeper","An intelligent MCP server that serves as a guardian of development knowledge, providing AI assistants with curated access to latest documentation and best practices.","https://github.com/aindreyway/mcp-codex-keeper","MCP;Server;documentation;knowledge base;AI;development;best practices","Knowledge Base","{'name': 'aindreyway'}","Local Servers"
"mcp-compass","Compass","Suggest the right MCP server for your needs","https://github.com/liuyoshio/mcp-compass","compass;service discovery","MCP Tools","{'name': 'liuyoshio'}","Local Servers"
"mcp-create","Create Server","A dynamic MCP server management service that creates, runs, and manages Model Context Protocol servers on-the-fly.","https://github.com/tesla0225/mcp-create","dynamic;TypeScript","MCP Tools","{'name': 'tesla0225'}","Local Servers"
"mcp-discord","MCP-Discord","A Discord MCP (Model Context Protocol) server that enables AI assistants to interact with the Discord platform.","https://github.com/barryyip0625/mcp-discord","discord;mcp;model context protocol;bot;messaging;webhook;channel management;forum","Messaging","{'name': 'barryyip0625'}","Local Servers"
"mcp-gitee","Gitee MCP Server","Gitee MCP Server is a Model Context Protocol (MCP) server implementation for Gitee. It provides a set of tools for interacting with Gitee's API, allowing AI assistants to manage repositories, issues, pull requests, and more.","https://github.com/oschina/mcp-gitee","gitee;mcp;repository;issues;pull requests","Dev Tools","{'name': 'oschina'}","Local Servers"
"mcp-grafana","Grafana MCP Server","A [Model Context Protocol][mcp] (MCP) server for Grafana.","https://github.com/grafana/mcp-grafana","grafana;mcp;model context protocol","Analytics","{'name': 'grafana'}","Local Servers"
"mcp-gsuite","MCP Google Workspace Integration","MCP server to interact with Google products.","https://github.com/MarkusPfundstein/mcp-gsuite","gmail;google;calendar;gsuite;google workspace;email;productivity","Productivity","{'name': 'MarkusPfundstein'}","Local Servers"
"mcp-installer","Installer","This server is a server that installs other MCP servers for you.","https://github.com/anaisbetts/mcp-installer","installer;server","MCP Tools","{'name': 'anaisbetts'}","Local Servers"
"mcp-jetbrains","JetBrains MCP Proxy Server","The server proxies requests from client to JetBrains IDE.","https://github.com/JetBrains/mcp-jetbrains","jetbrains;ide;proxy","Dev Tools","{'name': 'JetBrains'}","Local Servers"
"mcp-k8s-go","MCP K8S Go","MCP K8S Go is a Golang-based server that connects to Kubernetes, allowing users to interact with and manage Kubernetes resources using the Model Context Protocol (MCP).","https://github.com/strowk/mcp-k8s-go","kubernetes;mcp;golang;k8s;model context protocol;claude;tools","Dev Tools","{'name': 'strowk'}","Local Servers"
"mcp-local-rag","Local RAG","""primitive"" RAG-like web search model context protocol (MCP) server that runs locally using Google's MediaPipe Text Embedder and DuckDuckGo Search. ✨ no APIs required ✨.","https://github.com/nkapila6/mcp-local-rag","RAG;Search","Knowledge Base","{'name': 'nkapila6'}","Local Servers"
"mcp-mermaid","MCP Mermaid Server","Generate mermaid diagram and chart with AI MCP dynamically.","https://github.com/hustcc/mcp-mermaid","mermaid","Dev Tools","{'name': 'hustcc'}","Local Servers"
"mcp-neo4j-aura-api","Neo4j MCP (Aura API)","Neo4j graph database server (schema + read/write-cypher) and separate graph database backed memory","https://github.com/neo4j-contrib/mcp-neo4j","neo4j;mcp;knowledge graph;aura","Databases","{'name': 'neo4j-contrib'}","Local Servers"
"mcp-neo4j-memory","Neo4j MCP (Memory)","Neo4j graph database server (schema + read/write-cypher) and separate graph database backed memory","https://github.com/neo4j-contrib/mcp-neo4j","neo4j;mcp;knowledge graph","Databases","{'name': 'neo4j-contrib'}","Local Servers"
"mcp-neo4j","Neo4j MCP","This server enables running Cypher graph queries, analyzing complex domain data, and automatically generating business insights that can be enhanced with Claude's analysis when an Anthropic API key is provided.","https://github.com/neo4j-contrib/mcp-neo4j","neo4j;mcp;cypher;knowledge graph","Databases","{'name': 'neo4j-contrib'}","Local Servers"
"mcp-obsidian","MCP server for Obsidian","MCP server to interact with Obsidian via the Local REST API community plugin.","https://github.com/MarkusPfundstein/mcp-obsidian","obsidian;note-taking;knowledge-management;rest-api;mcp","Knowledge Base","{'name': 'MarkusPfundstein'}","Local Servers"
"mcp-oceanbase","OceanBase MCP Server","MCP Server for OceanBase database and its tools","https://github.com/oceanbase/mcp-oceanbase","database;OceanBase","Databases","{'name': 'oceanbase'}","Local Servers"
"mcp-playwright","Playwright","This MCP Server will help you run browser automation and webscraping using Playwright","https://github.com/executeautomation/mcp-playwright","Playwright;Browser Automation","Web Services","{'name': 'executeautomation'}","Local Servers"
"mcp-proxy","MCP Proxy","Connect to MCP servers that run on SSE transport, or expose stdio servers as an SSE server.","https://github.com/sparfenyuk/mcp-proxy","proxy;sse;stdio","MCP Tools","{'name': 'sparfenyuk'}","Local Servers"
"mcp-redis","Redis MCP Server","The Redis MCP Server is a natural language interface designed for AI applications to efficiently manage and search data in Redis, enabling AI-driven workflows to interact with structured and unstructured data using natural language queries.","https://github.com/redis/mcp-redis","redis;database;natural language interface;MCP;Model Content Protocol;data management;search;vector search;caching;streams;JSON","Databases","{'name': 'redis'}","Local Servers"
